x1,y1,z1,a1,e1,r1,time1,quality1,x2,y2,z2,a2,e2,r2,time2,quality2,x3,y3,z3,a3,e3,r3,time3,quality3,x4,y4,z4,a4,e4,r4,time4,quality4,x5,y5,z5,a5,e5,r5,time5,quality5,x6,y6,z6,a6,e6,r6,time6,quality6,x7,y7,z7,a7,e7,r7,time7,quality7,x8,y8,z8,a8,e8,r8,time8,quality8
-40.19476,-7.902773,45.60838,179.0552,-26.41113,171.1011,00:00:00.0119684,3236,-22.82651,-6.953994,42.96296,-89.89014,-42.86865,-63.80859,00:00:00.0129663,7452,-25.79564,-7.14375,44.67076,-120.6079,-34.89258,101.1841,00:00:00.0129663,6604,-23.41811,-7.858125,40.77518,-112.8955,-40.23193,-40.23193,00:00:00.0129663,8704,-26.21979,-7.087939,45.2177,-134.165,-41.74805,36.95801,00:00:00.0139641,6432,-15.09117,-8.539014,25.43845,-35.70557,-25.7959,-100.0635,00:00:00.0139641,22760,-31.59993,-7.768828,44.05685,-150.3589,-24.30176,154.5337,00:00:00.0139641,6712,-22.51397,-10.57052,38.68787,-82.96875,-15.86426,8.173828,00:00:00.0139641,10744
-40.19476,-7.925097,45.60838,179.0991,-26.41113,171.0791,00:00:00.0249396,3236,-22.81535,-6.953994,42.97412,-89.86816,-42.89063,-63.83057,00:00:00.0249396,7452,-25.78447,-7.154912,44.69308,-120.542,-34.93652,101.1182,00:00:00.0249396,6604,-23.41811,-7.858125,40.78635,-112.8955,-40.23193,-40.20996,00:00:00.0249396,8704,-26.21979,-7.099101,45.22887,-134.1211,-41.74805,36.93604,00:00:00.0249396,6436,-15.04652,-8.382744,25.52774,-35.50781,-25.97168,-100.7446,00:00:00.0249396,22764,-31.61109,-7.768828,44.05685,-150.3589,-24.27979,154.5337,00:00:00.0249396,6708,-22.52514,-10.57052,38.68787,-82.94678,-15.86426,8.195801,00:00:00.0249396,10744
-40.20592,-7.925097,45.60838,179.0991,-26.38916,171.0791,00:00:00.0369014,3232,-22.81535,-6.942832,42.97412,-89.84619,-42.89063,-63.83057,00:00:00.0369014,7452,-25.78447,-7.132588,44.71541,-120.542,-34.9585,101.1401,00:00:00.0369014,6604,-23.41811,-7.869287,40.78635,-112.8735,-40.25391,-40.18799,00:00:00.0369014,8700,-26.21979,-7.099101,45.22887,-134.0991,-41.74805,36.93604,00:00:00.0369014,6436,-14.96839,-8.181826,25.63936,-35.24414,-26.14746,-101.6675,00:00:00.0369014,22760,-31.62226,-7.77999,44.05685,-150.3369,-24.27979,154.5557,00:00:00.0369014,6704,-22.52514,-10.57052,38.67671,-82.94678,-15.86426,8.217773,00:00:00.0369014,10744
-40.20592,-7.936259,45.60838,179.0991,-26.36719,171.0791,00:00:00.0478717,3228,-22.81535,-6.942832,42.98528,-89.84619,-42.9126,-63.85254,00:00:00.0478717,7452,-25.78447,-7.14375,44.69308,-120.52,-34.9585,101.1841,00:00:00.0478717,6600,-23.41811,-7.869287,40.78635,-112.8735,-40.25391,-40.18799,00:00:00.0478717,8700,-26.21979,-7.110264,45.22887,-134.0552,-41.74805,36.93604,00:00:00.0478717,6436,-14.86793,-7.947422,25.75099,-34.93652,-26.32324,-102.7002,00:00:00.0478717,22748,-31.62226,-7.77999,44.05685,-150.3149,-24.27979,154.5557,00:00:00.0478717,6700,-22.52514,-10.58168,38.67671,-82.94678,-15.86426,8.239746,00:00:00.0478717,10744
-40.21708,-7.925097,45.60838,179.0771,-26.34521,171.0791,00:00:00.0578455,3220,-22.81535,-6.942832,42.98528,-89.82422,-42.93457,-63.85254,00:00:00.0578455,7448,-25.77331,-7.154912,44.71541,-120.4761,-35.00244,101.1621,00:00:00.0578455,6604,-23.42927,-7.880449,40.77518,-112.8735,-40.25391,-40.14404,00:00:00.0578455,8700,-26.21979,-7.121426,45.22887,-134.0552,-41.74805,36.93604,00:00:00.0578455,6436,-14.81212,-7.757666,25.84028,-34.69482,-26.49902,-103.623,00:00:00.0578455,22740,-31.62226,-7.791152,44.05685,-150.3149,-24.27979,154.5776,00:00:00.0578455,6700,-22.52514,-10.59284,38.66555,-82.9248,-15.86426,8.261719,00:00:00.0578455,10748
-40.2394,-7.925097,45.61954,179.0552,-26.30127,171.0791,00:00:00.0698140,3208,-22.82651,-6.93167,42.99644,-89.84619,-43.00049,-63.83057,00:00:00.0698140,7448,-25.81796,-7.14375,44.71541,-120.564,-34.98047,101.3159,00:00:00.0698140,6600,-23.45159,-7.880449,40.77518,-112.9395,-40.29785,-40.05615,00:00:00.0698140,8700,-26.21979,-7.121426,45.22887,-134.0552,-41.74805,36.95801,00:00:00.0698140,6436,-14.72282,-7.400478,26.00772,-34.29932,-26.78467,-105.3369,00:00:00.0698140,22724,-31.63342,-7.791152,44.06801,-150.293,-24.27979,154.6216,00:00:00.0698140,6696,-22.5363,-10.61517,38.64322,-82.9248,-15.88623,8.327637,00:00:00.0698140,10752
-40.25057,-7.925097,45.6307,179.0332,-26.30127,171.0791,00:00:00.0807853,3200,-22.83768,-6.920508,43.00761,-89.84619,-43.06641,-63.83057,00:00:00.0807853,7444,-25.84028,-7.14375,44.70425,-120.564,-35.00244,101.3599,00:00:00.0807853,6596,-23.47392,-7.891612,40.78635,-112.9834,-40.3418,-39.96826,00:00:00.0807853,8700,-26.23096,-7.132588,45.24003,-134.0552,-41.77002,37.00195,00:00:00.0807853,6436,-14.63352,-6.98748,26.21979,-33.72803,-27.11426,-107.3804,00:00:00.0807853,22700,-31.64458,-7.813477,44.09033,-150.271,-24.32373,154.6436,00:00:00.0807853,6688,-22.56978,-10.65981,38.60973,-82.90283,-15.95215,8.415527,00:00:00.0807853,10772
-40.28405,-7.947422,45.65303,179.0771,-26.32324,171.0571,00:00:00.0917560,3184,-22.88232,-6.909346,43.0411,-89.84619,-43.22021,-63.85254,00:00:00.0917560,7444,-25.86261,-7.221885,44.74889,-120.4102,-35.04639,101.3379,00:00:00.0917560,6600,-23.54089,-7.902773,40.81983,-113.0493,-40.45166,-39.88037,00:00:00.0917560,8700,-26.24212,-7.132588,45.25119,-134.0771,-41.79199,37.00195,00:00:00.0917560,6436,-14.56655,-6.674941,26.37606,-33.31055,-27.35596,-108.8306,00:00:00.0917560,22676,-31.65574,-7.824638,44.12382,-150.249,-24.38965,154.6655,00:00:00.0917560,6680,-22.60327,-10.6933,38.56509,-82.90283,-16.01807,8.503418,00:00:00.0917560,10796
-40.30638,-7.99207,45.68652,179.1431,-26.34521,171.0132,00:00:00.1027257,3168,-22.92697,-6.898183,43.0969,-89.78027,-43.48389,-63.98438,00:00:00.1027257,7436,-25.87377,-7.210722,44.84936,-120.4102,-35.22217,101.25,00:00:00.1027257,6588,-23.60786,-7.902773,40.87564,-113.1152,-40.71533,-39.83643,00:00:00.1027257,8700,-26.26444,-7.14375,45.27352,-134.0552,-41.87988,37.00195,00:00:00.1027257,6432,-14.44377,-6.217295,26.61047,-32.60742,-27.59766,-111.0938,00:00:00.1027257,22620,-31.6669,-7.880449,44.19079,-150.1611,-24.54346,154.6436,00:00:00.1027257,6668,-22.6256,-10.77144,38.52044,-82.79297,-16.17188,8.503418,00:00:00.1027257,10844
-40.31754,-8.025557,45.70884,179.209,-26.38916,170.9692,00:00:00.1146935,3152,-22.93814,-6.909346,43.13039,-89.64844,-43.61572,-64.16016,00:00:00.1146935,7432,-25.87377,-7.210722,44.83819,-120.4102,-35.26611,101.2061,00:00:00.1146935,6576,-23.60786,-7.902773,40.89797,-113.0713,-40.93506,-39.94629,00:00:00.1146935,8692,-26.26444,-7.177236,45.31816,-134.0112,-42.05566,36.93604,00:00:00.1146935,6428,-14.32099,-5.860107,26.7779,-31.97021,-27.72949,-112.6099,00:00:00.1146935,22540,-31.64458,-7.925097,44.25776,-150.0952,-24.78516,154.5557,00:00:00.1146935,6652,-22.59211,-10.83841,38.46463,-82.66113,-16.19385,8.393555,00:00:00.1146935,10900
