0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,tx,ty,tz
0,0,0,7.004166,-10.19165,33.58691,11.56132,-17.6174,50.29767,14.5506,-22.92578,57.10577,0.0,0.0,0.0
0.1612701,-0.2279358,0.7671709,7.231384,-10.22046,34.40007,12.30003,-10.86285,52.53993,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.070114,-9.992523,33.6329,12.08945,-10.82782,51.77862,13.21156,-2.474274,55.30342,13.24323,-2.238525,55.40289
0.01821899,-0.02566528,0.08658314,7.095528,-9.995544,33.72469,12.12112,-10.59207,51.8781,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.077309,-9.969879,33.6381,12.09738,-10.58914,51.79228,13.23901,-2.269226,55.38961,13.24323,-2.238525,55.40289
0.002471924,-0.003479004,0.01174927,7.080757,-9.970276,33.65056,12.1016,-10.55844,51.80556,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.078285,-9.966797,33.63881,12.09838,-10.55807,51.79391,13.24264,-2.242767,55.40105,13.24323,-2.238525,55.40289
0.0003433228,-0.0004882813,0.00163269,7.078766,-9.966858,33.64054,12.09897,-10.55383,51.79575,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.078423,-9.96637,33.63891,12.09853,-10.5538,51.79414,13.24314,-2.239136,55.40263,13.24323,-2.238525,55.40289
2.9282,-4.837006,10.30199,11.84639,-19.56866,41.67797,18.55193,-33.07312,52.98392,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,8.91819,-14.73166,31.37599,14.98308,-26.27844,44.97919,17.9491,-33.86896,49.10859,21.06549,-41.84424,53.44733
2.330452,-4.128937,7.278148,11.93297,-21.14197,37.26743,18.09946,-34.25372,49.31792,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,9.602516,-17.01303,29.98928,15.477,-28.93262,43.35239,18.42546,-35.74475,48.67843,21.06549,-41.84424,53.44733
